Burst,T_90S,T_90,T_50S,T_50,Phase,4ms Peak Flux,Fluence
090224718a,13:42.1,284 +or- 9,13:42.2,128 +or- 13,0.314,9.93E-06 +or- 7.88E-07,5.58E-07 +or- 1.57E-08
090224782a,45:57.9,148 +or- 29,45:57.9,80 +or-,0.9721,4.31E-06 +or- 5.10E-07,2.70E-07 +or- 1.05E-08
090322789a,56:23.7,592 +or- 40,56:23.7,360 +or- 29,0.4158,2.72E-06 +or- 1.60E-06,3.09E-07 +or- 1.60E-08
090322944a^b,39:15.8,288 +or- 6,39:15.8,88 +or- 6,,,
090326625a,00:36.0,244 +or- 30,00:36.0,80 +or- 6,0.8768,2.44E-06 +or- 4.37E-07,1.32E-07 +or- 9.00E-09
090326625b^a,00:38.2,192 +or- 45,00:38.3,96 +or- 36,9501,1.90E-06 +or- 1.26E-06,9.50E-08 +or- 3.30E-08
090328545a,05:12.0,136 +or- 37,05:12.0,48 +or- 9,0.3297,2.73E-06 +or- 5.28E-07,1.26E-07 +or- 6.00E-09
090329754a,05:15.7,140 +or- 54,05:15.7,28 +or- 11,0.7721,5.46E-06 +or- 8.12E-07,1.27E-07 +or- 6.00E-09
090330237a,41:10.0,124 +or- 24,41:10.0,32 +or- 9,0.4217,2.04E-05 +or- 1.00E-06,5.57E-07 +or- 1.00E-08
090401093a,14:28.2,2656 +or- 172,14:28.4,1632 +or- 172,0.6259,9.21E-07 +or- 2.38E-07,2.50E-08 +or- 3.00E-09
090401666a^f,59:36.8,88 +or- 6,59:36.8,32 +or- 6,0.4664,9.66E-05 +or- 3.47E-06,1.87E-06 +or- 2.40E-08
090403592a,13:04.3,320 +or- 23,13:04.5,80 +or- 36,0.4952,4.64E-06 +or- 6.78E-07,2.14E-07 +or- 7.00E-09
090403761a,15:36.3,136 +or- 18,15:36.3,48 +or- 23,0.1677,2.71E-06 +or- 4.39E-07,8.40E-08 +or- 5.00E-09
090409351a,25:24.0,112 +or- 18,25:24.0,72 +or- 18,0.5365,6.40E-06 +or- 6.38E-07,2.33E-07 +or- 7.00E-09
090411917a,01:05.3,180 +or- 20,01:05.3,64 +or- 9,0.9203,1.37E-05 +or- 1.07E-06,4.55E-07 +or- 1.00E-08
090413987a,41:48.9,72 +or- 6,41:48.9,28 +or- 6,0.8659,2.25E-05 +or- 1.12E-06,3.77E-07 +or- 8.00E-09
090417946a,42:11.3,480 +or- 69,42:11.4,336 +or- 23,0.1967,4.78E-06 +or- 6.69E-07,2.27E-07 +or- 1.00E-08
