Burst,T_90S,T_90,T_50S,T_50,Phase,4ms Peak Flux,Fluence
090122283ac^a,51:42.1,36$_{-8}^{+21}$,51:42.1,18$_{-6}^{+4}$,0.0618,2.78E-06 +or- 4.99E-07,3.30E-08 +or- 3.92E-09
090122283ad^a,51:43.9,44$_{-16}^{+25}$,51:43.9,12$_{-4}^{+2}$,0.916,5.06E-06 +or- 6.05E-07,6.24E-08 +or- 5.20E-09
090122283ae^a,51:47.4,652$_{-16}^{+50}$,51:47.5,540$_{-28}^{+44}$,0.6279,2.78E-06 +or- 4.92E-07,2.28E-07 +or- 1.34E-08
"090122283af^a^,^b^,^f",52:00.2,100$_{-8}^{+6}$,52:00.2,30$_{-2}^{+2}$,,,
"090122283ag^a^,^f",52:04.0,388$_{-36}^{+30}$,52:04.0,88$_{-4}^{+6}$,0.6354,3.22E-05 +or- 1.40E-06,2.44E-06 +or- 2.50E-08
090122283ah^a,52:20.0,538$_{-16}^{+62}$,52:20.2,202$_{-28}^{+32}$,0.5169,1.94E-05 +or- 1.07E-06,8.34E-07 +or- 1.67E-08
090122283ai^a,52:51.1,80$_{-8}^{+18}$,52:51.1,22$_{-4}^{+4}$,0.3551,1.48E-05 +or- 9.50E-07,2.89E-07 +or- 9.72E-09
090122291a,58:24.2,98$_{-22}^{+18}$,58:24.2,30$_{-6}^{+6}$,0.1284,4.90E-06 +or- 5.24E-07,1.42E-07 +or- 6.96E-09
090122291b^a,58:35.8,62$_{-14}^{+39}$,58:35.8,14$_{-2}^{+8}$,0.7067,5.46E-06 +or- 5.77E-07,8.68E-08 +or- 5.20E-09
"090122291c^a^,^b^,^f",59:35.5,240$_{-10}^{+10}$,59:35.6,118$_{-2}^{+4}$,,,
090122291d^a,00:00.5,554$_{-78}^{+40}$,00:00.6,106$_{-26}^{+66}$,0.6431,2.33E-06 +or- 4.02E-07,4.62E-08 +or- 4.80E-09
090122291e^a,00:16.9,493$_{-35}^{+11}$,00:17.0,396$_{-34}^{+16}$,0.7278,2.19E-06 +or- 3.65E-07,5.99E-08 +or- 5.04E-09
090122291f^a,00:23.3,548$_{-68}^{+36}$,00:23.5,188$_{-30}^{+28}$,0.7395,1.26E-06 +or- 3.68E-07,5.21E-08 +or- 4.96E-09
090122291g^a,00:45.3,296$_{-144}^{+47}$,00:45.5,38$_{-8}^{+28}$,0.301,1.63E-06 +or- 3.93E-07,4.84E-08 +or- 4.16E-09
090122291h^a,00:50.3,326$_{-86}^{+33}$,00:50.4,58$_{-12}^{+32}$,0.7002,2.17E-06 +or- 3.86E-07,7.02E-08 +or- 5.40E-09
090122291i^a,00:54.8,320$_{-28}^{+47}$,00:54.8,138$_{-40}^{+46}$,0.7901,6.37E-06 +or- 5.87E-07,6.48E-08 +or- 4.80E-09
"090122291j^a^,^b^,^f",00:58.7,308$_{-20}^{+26}$,00:58.8,90$_{-2}^{+4}$,,,
090122310a^f,26:29.7,828$_{-10}^{+12}$,26:30.0,396$_{-4}^{+6}$,0.9337,9.41E-06 +or- 8.80E-07,1.30E-06 +or- 2.65E-08
090122310b^a,30:15.6,290$_{-28}^{+20}$,30:15.7,132$_{-8}^{+6}$,0.7294,9.91E-06 +or- 8.29E-07,6.07E-07 +or- 1.64E-08
"090122310c^a^,^b^,^f",31:14.7,566$_{-50}^{+28}$,31:14.9,202$_{-4}^{+4}$,,,
090122317a^f,36:28.7,330$_{-40}^{+24}$,36:28.7,94$_{-6}^{+2}$,0.701,3.64E-05 +or- 1.52E-06,7.55E-07 +or- 1.18E-08
090122317b^a,37:59.9,676$_{-114}^{+23}$,38:00.0,188$_{-32}^{+26}$,0.718,3.47E-06 +or- 5.53E-07,2.37E-07 +or- 1.06E-08
090122317c^a,39:44.4,185$_{-25}^{+34}$,39:44.4,44$_{-10}^{+22}$,0.1263,1.91E-06 +or- 3.82E-07,2.21E-08 +or- 2.56E-09
090122317d^a,40:15.3,103$_{-4}^{+6}$,40:15.3,44$_{-6}^{+6}$,0.0634,5.81E-06 +or- 5.75E-07,1.56E-07 +or- 6.72E-09
